Hair Style Name,Normal Price (N$),Barber,Weather,Environment Noise Level,Head Shape,Customer Reaction,Discount Percent,Age Group,Pre Hair Length,Physical Height (m),Body Mass (kg),Date (DDMMYYYY),Client Skin Tone,Styling Time (minutes)
Panga,80,Ben,Cold,Loud,Heart,Relaxed,0,20-29,Long,1.8423840431214276,59,1/04/2020,Dark,48
Panga,70,Tom,Cold,Loud,Pear,Hurried,10,20-29,Long,1.5419834339958685,59,1/04/2020,Dark,47
Panga,50,Tom,Cold,Moderate,Square,Worried,0,20-29,Long,1.7979288457161329,59,1/04/2020,Light,40
Panga,80,Ben,Cold,Moderate,Triangular,Serious,0,20-29,Long,1.6703541363370809,51,1/04/2020,Dark,46
Panga,20,Leo,Cold,Low,Triangular,Tired,10,20-29,Long,1.6499741154118102,52,1/04/2020,Dark,60
Panga,80,Ben,Cold,Loud,Pear,Happy,10,20-29,Long,1.7455041244100855,51,1/04/2020,Light,60
Panga,60,Leo,Cold,Loud,Heart,Relaxed,10,20-29,Long,1.5253052331654797,59,1/04/2020,Light,55
Panga,50,Leo,Cold,Loud,Round,Hurried,10,20-29,Long,1.5254682397806811,53,1/04/2020,Dark,51
Panga,60,Tom,Cold,Loud,Round,Tired,15,20-29,Long,1.7734961089236223,58,1/04/2020,Light,57
Panga,80,Leo,Cold,Moderate,Oval,Happy,0,20-29,Long,1.8485798341690698,60,1/04/2020,Light,43
Panga,70,Ben,Cold,Loud,Pear,Relaxed,20,20-29,Long,1.6835422192994933,50,1/04/2020,Light,57
Panga,80,Leo,Cold,Loud,Heart,Serious,0,20-29,Long,1.6872175169119779,56,1/04/2020,Light,41
Panga,80,Leo,Cold,Moderate,Square,Hurried,0,20-29,Long,1.6792566062823846,53,1/04/2020,Light,49
Panga,80,Leo,Cold,Low,Square,Tired,20,20-29,Long,1.858172142048903,60,1/04/2020,Light,46
Panga,80,Ben,Cold,Loud,Oval,Relaxed,15,20-29,Long,1.6125321118176505,56,2/04/2020,Dark,45
Panga,80,Tom,Cold,Low,Heart,Happy,10,20-29,Long,1.7231775008248096,56,2/04/2020,Dark,56
Panga,80,Leo,Cold,Low,Round,Tired,10,20-29,Long,1.7871258542784068,50,2/04/2020,Light,45
Panga,80,Tom,Cold,Low,Triangular,Worried,0,20-29,Long,1.5717413329751415,56,2/04/2020,Light,50
